resource,file,latitude,longitude,dataset,date_from,date_to,row_count_hours,capacity_kw_basis,annual_specific_yield_kwh_per_kw,capacity_factor_percent,capacity_factor_fraction,max_hourly_kw_per_kw,min_hourly_kw_per_kw,average_wind_speed_mps,max_wind_speed_mps,min_wind_speed_mps,notes
pv,ninja_pv_21.0158_106.8009_uncorrected.csv,21.015799563109237,106.80087277197177,merra2,2019-01-01,2019-12-31,8760,1,1295.225,14.786,0.14786,0.806,0.000,,,,electricity là kW phát ra trên mỗi 1 kW công suất lắp đặt; dùng làm hệ số công suất theo giờ
wind,ninja_wind_21.0158_106.8009_uncorrected.csv,21.015799563109237,106.80087277197177,merra2,2019-01-01,2019-12-31,8760,1,1587.008,18.117,0.18117,0.927,0.000,5.157,12.957,0.016,electricity là kW phát ra trên mỗi 1 kW công suất lắp đặt; wind_speed là m/s tại height 80m
